step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size
49,1,10.0,1.0,49,nan,nan,0.9999559,49
900,2,100.0,10.0,851,nan,nan,0.99919,900
1189,3,50.0,5.0,289,nan,nan,0.9989299,1189
1299,4,30.0,3.0,110,nan,nan,0.9988309,1299
1357,5,0.0,0.0,58,nan,nan,0.9987787,1357
1577,6,50.0,5.0,220,nan,nan,0.9985807,1577
1926,7,70.0,7.0,349,nan,nan,0.9982666,1926
2040,8,30.0,3.0,114,nan,nan,0.998164,2040
2162,9,10.0,1.0,122,nan,nan,0.9980542,2162
2214,10,0.0,0.0,52,nan,nan,0.9980074,2214
2412,11,40.0,4.0,198,nan,nan,0.9978292,2412
2497,12,0.0,0.0,85,nan,nan,0.9977527,2497
2749,13,20.0,2.0,252,nan,nan,0.9975259,2749
2801,14,0.0,0.0,52,nan,nan,0.9974791,2801
2853,15,0.0,0.0,52,nan,nan,0.9974323,2853
3501,16,80.0,8.0,648,nan,nan,0.9968491,3501
3580,17,10.0,1.0,79,nan,nan,0.996778,3580
4150,18,90.0,9.0,570,nan,nan,0.996265,4150
4205,19,10.0,1.0,55,nan,nan,0.9962155,4205
4360,20,60.0,6.0,155,nan,nan,0.996076,4360
4577,21,30.0,3.0,217,nan,nan,0.9958807,4577
5119,22,120.0,12.0,542,0.00020832809968851507,0.001514566713012755,0.9953929,5119
5271,23,20.0,2.0,152,0.00019790770602412522,0.0016033444553613663,0.9952561,5271
5730,24,60.0,6.0,459,0.01525640394538641,0.008764717727899551,0.994843,5730
5780,25,10.0,1.0,50,0.01508709229528904,0.01659480854868889,0.994798,5780
6147,26,40.0,4.0,367,0.0001547895953990519,0.016906294971704483,0.9944677,6147
6257,27,20.0,2.0,110,0.0004232039791531861,0.016770215705037117,0.9943687,6257
6713,28,90.0,9.0,456,6.151735578896478e-05,0.02829153835773468,0.9939583,6713
6918,29,50.0,5.0,205,0.00039976509287953377,0.017914706841111183,0.9937738,6918
6971,30,10.0,1.0,53,0.014547247439622879,0.03331245481967926,0.9937261,6971
7029,31,0.0,0.0,58,0.0003157739993184805,0.021325435489416122,0.9936739,7029
7119,32,10.0,1.0,90,0.00032021006336435676,0.009202513843774796,0.9935929,7119
7897,33,140.0,14.0,778,0.014117547310888767,0.004807180259376764,0.9928927,7897
8772,34,120.0,12.0,875,0.020182056352496147,0.035939037799835205,0.9921052,8772
8821,35,10.0,1.0,49,0.011405685916543007,0.022288210690021515,0.9920611,8821
9109,36,70.0,7.0,288,0.0006655554752796888,-0.009036935865879059,0.9918019,9109
9269,37,40.0,4.0,160,0.0023491675965487957,0.02495979703962803,0.9916579,9269
9322,38,0.0,0.0,53,0.0021510005462914705,0.0219243336468935,0.9916102,9322
10374,39,90.0,9.0,1052,0.012728587724268436,0.09870223701000214,0.9906634,10374
10563,40,30.0,3.0,189,0.0022898362949490547,0.08912257105112076,0.9904933,10563
10679,41,10.0,1.0,116,0.002206505974754691,0.08983220160007477,0.9903889,10679
10865,42,30.0,3.0,186,0.002996118739247322,0.12068603932857513,0.9902215,10865
10941,43,10.0,1.0,76,0.0021973401308059692,0.06448536366224289,0.9901531,10941
11416,44,60.0,6.0,475,0.0019516150932759047,0.0504961758852005,0.9897256,11416
11556,45,30.0,3.0,140,0.00141183752566576,0.05596769228577614,0.9895996,11556
11680,46,30.0,3.0,124,0.0015809987671673298,0.052374355494976044,0.989488,11680
11868,47,50.0,5.0,188,0.001003291574306786,0.028627295047044754,0.9893188,11868
11916,48,0.0,0.0,48,0.002578041283413768,0.08075591921806335,0.9892756,11916
12010,49,10.0,1.0,94,0.0017618858255445957,0.043940357863903046,0.989191,12010
