step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
846,1,110.0,1.0999999999999999,846,nan,nan,0.99916246,846,6.2485195e-05
2548,2,280.0,2.8,1702,nan,nan,0.99747748,2548,6.245541e-05
2959,3,110.0,1.0999999999999999,411,nan,nan,0.99707059,2959,6.244821750000001e-05
4552,4,190.0,1.9000000000000001,1593,nan,nan,0.99549352,4552,6.242034e-05
5164,5,70.0,0.7,612,nan,nan,0.99488764,5164,6.240963e-05
6504,6,90.0,0.8999999999999999,1340,nan,nan,0.99356104,6504,6.238618000000001e-05
7265,7,160.0,1.6000000000000003,761,nan,nan,0.99280765,7265,6.23728625e-05
8457,8,175.0,1.7500000000000002,1192,nan,nan,0.99162757,8457,6.23520025e-05
9747,9,370.0,3.6999999999999993,1290,nan,nan,0.99035047,9747,6.23294275e-05
10172,10,90.0,0.8999999999999999,425,nan,nan,0.98992972,10172,6.232199e-05
11684,11,190.0,1.9000000000000001,1512,nan,nan,0.98843284,11684,6.229553e-05
12162,12,60.0,0.6,478,nan,nan,0.98795962,12162,6.2287165e-05
12845,13,140.0,1.4000000000000001,683,nan,nan,0.98728345,12845,6.22752125e-05
13429,14,120.0,1.2,584,nan,nan,0.98670529,13429,6.22649925e-05
14050,15,130.0,1.3,621,nan,nan,0.9860905,14050,6.2254125e-05
15486,16,310.0,3.0999999999999996,1436,nan,nan,0.98466886,15486,6.2228995e-05
16658,17,325.0,3.2499999999999996,1172,nan,nan,0.98350858,16658,6.2208485e-05
17876,18,310.0,3.0999999999999996,1218,nan,nan,0.98230276,17876,6.218717e-05
18629,19,140.0,1.4000000000000001,753,nan,nan,0.98155729,18629,6.217399250000001e-05
19251,20,130.0,1.3,622,nan,nan,0.98094151,19251,6.21631075e-05
20056,21,175.0,1.7500000000000002,805,nan,nan,0.98014456,20056,6.214902e-05
21394,22,235.0,2.35,1338,nan,nan,0.9788199399999999,21394,6.2125605e-05
21608,23,20.0,0.2,214,nan,nan,0.97860808,21608,6.212186e-05
22630,24,110.0,1.0999999999999999,1022,nan,nan,0.9775963,22630,6.2103975e-05
23353,25,150.0,1.5000000000000002,723,nan,nan,0.97688053,23353,6.20913225e-05
24315,26,235.0,2.35,962,nan,nan,0.97592815,24315,6.20744875e-05
25625,27,160.0,1.6000000000000003,1310,nan,nan,0.97463125,25625,6.20515625e-05
26860,28,265.0,2.65,1235,nan,nan,0.9734086,26860,6.202995e-05
27416,29,70.0,0.7,556,nan,nan,0.97285816,27416,6.202022000000001e-05
28436,30,295.0,2.9499999999999997,1020,nan,nan,0.97184836,28436,6.200237e-05
29836,31,295.0,2.9499999999999997,1400,nan,nan,0.97046236,29836,6.197787e-05
31201,32,265.0,2.65,1365,nan,nan,0.96911101,31201,6.19539825e-05
31758,33,130.0,1.3,557,nan,nan,0.96855958,31758,6.1944235e-05
32325,34,70.0,0.7,567,nan,nan,0.96799825,32325,6.19343125e-05
32990,35,205.0,2.0500000000000003,665,nan,nan,0.9673399,32990,6.192267500000001e-05
