step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
54,1,0.0,0.0,54,nan,nan,0.0,54,6.2499235e-05
181,2,30.0,3.0,127,nan,nan,0.0,181,6.249743583333334e-05
336,3,60.0,6.0,155,nan,nan,0.0,336,6.249524000000001e-05
1326,4,120.0,12.0,990,nan,nan,0.0,1326,6.2481215e-05
1644,5,40.0,4.0,318,nan,nan,0.0,1644,6.247671e-05
1881,6,70.0,7.0,237,nan,nan,0.0,1881,6.24733525e-05
2242,7,70.0,7.0,361,nan,nan,0.0,2242,6.246823833333333e-05
3167,8,110.0,11.0,925,nan,nan,0.0,3167,6.245513416666667e-05
3596,9,80.0,8.0,429,nan,nan,0.0,3596,6.244905666666666e-05
4614,10,140.0,14.0,1018,nan,nan,0.0,4614,6.2434635e-05
5089,11,60.0,6.0,475,nan,nan,0.0,5089,6.242790583333334e-05
5336,12,70.0,7.0,247,nan,nan,0.0,5336,6.242440666666667e-05
5416,13,20.0,2.0,80,nan,nan,0.0,5416,6.242327333333334e-05
5826,14,70.0,7.0,410,nan,nan,0.0,5826,6.241746500000001e-05
6069,15,40.0,4.0,243,nan,nan,0.0,6069,6.241402250000001e-05
6271,16,30.0,3.0,202,nan,nan,0.0,6271,6.241116083333333e-05
6689,17,70.0,7.0,418,nan,nan,0.0,6689,6.240523916666666e-05
7034,18,20.0,2.0,345,nan,nan,0.0,7034,6.240035166666667e-05
7334,19,50.0,5.0,300,nan,nan,0.0,7334,6.239610166666667e-05
8173,20,80.0,8.0,839,nan,nan,0.0,8173,6.238421583333333e-05
8287,21,10.0,1.0,114,nan,nan,0.0,8287,6.238260083333334e-05
8451,22,60.0,6.0,164,nan,nan,0.0,8451,6.23802775e-05
8530,23,10.0,1.0,79,nan,nan,0.0,8530,6.237915833333334e-05
8981,24,90.0,9.0,451,nan,nan,0.0,8981,6.237276916666667e-05
14804,25,110.0,11.0,5823,nan,nan,0.0,14804,6.229027666666667e-05
14982,26,40.0,4.0,178,nan,nan,0.0,14982,6.2287755e-05
15038,27,0.0,0.0,56,nan,nan,0.0,15038,6.228696166666666e-05
15576,28,50.0,5.0,538,nan,nan,0.0,15576,6.227934e-05
17749,29,205.0,19.0,2173,nan,nan,0.0,17749,6.224855583333333e-05
17918,30,30.0,3.0,169,nan,nan,0.0,17918,6.224616166666667e-05
18141,31,40.0,4.0,223,nan,nan,0.0,18141,6.22430025e-05
18361,32,30.0,3.0,220,nan,nan,0.0,18361,6.223988583333333e-05
18553,33,20.0,2.0,192,nan,nan,0.0,18553,6.223716583333333e-05
18629,34,20.0,2.0,76,nan,nan,0.0,18629,6.223608916666666e-05
21963,35,265.0,23.0,3334,nan,nan,0.0,21963,6.21888575e-05
22136,36,20.0,2.0,173,nan,nan,0.0,22136,6.218640666666667e-05
22743,37,160.0,16.0,607,nan,nan,0.0,22743,6.21778075e-05
23087,38,70.0,7.0,344,nan,nan,0.0,23087,6.217293416666667e-05
23288,39,40.0,4.0,201,nan,nan,0.0,23288,6.217008666666666e-05
23555,40,30.0,3.0,267,nan,nan,0.0,23555,6.216630416666667e-05
23712,41,30.0,3.0,157,nan,nan,0.0,23712,6.216408e-05
23820,42,10.0,1.0,108,nan,nan,0.0,23820,6.216255e-05
24106,43,60.0,6.0,286,nan,nan,0.0,24106,6.215849833333334e-05
24246,44,20.0,2.0,140,nan,nan,0.0,24246,6.2156515e-05
24381,45,10.0,1.0,135,nan,nan,0.0,24381,6.21546025e-05
24462,46,10.0,1.0,81,nan,nan,0.0,24462,6.2153455e-05
26910,47,190.0,18.0,2448,nan,nan,0.0,26910,6.2118775e-05
27567,48,120.0,12.0,657,nan,nan,0.0,27567,6.21094675e-05
27706,49,30.0,3.0,139,nan,nan,0.0,27706,6.210749833333333e-05
